catalog,source,species,sex,body_length,tail_length
42719,UAZ,hor,Female,243,177
42719,UAZ,hor,Female,243,177
93890,LACM,hor,Female,261,210
42718,UAZ,hor,Female,290,171
42718,UAZ,hor,Female,290,171
46992,UAZ,hor,Female,294,176
46992,UAZ,hor,Female,294,176
6594,LACM,hor,Female,312,245
,ZooMAT,hor,Female,317,236
93893,LACM,hor,Female,318,242
46991,UAZ,hor,Female,325,249
46991,UAZ,hor,Female,325,249
,ZooMAT,hor,Female,335,272
CBHh0011,Chamela,hor,Female,340,243
CBHh0024,Chamela,hor,Female,340,194
CBHh0028,Chamela,hor,Female,378,268
CBHh002,Chamela,hor,Female,380,235
CBHh0015,Chamela,hor,Female,380,233
CBHh0018,Chamela,hor,Female,381,218
CBHh004,Chamela,hor,Female,382,270
CBHh0014,Chamela,hor,Female,405,252
,ZooMAT,hor,Female,408,316
CBHh001,Chamela,hor,Female,410,255
,ZooMAT,hor,Female,412,320
,ZooMAT,hor,Female,423,332
6595,LACM,hor,Male,276,244
1820,LACM,hor,Male,285,251
114394,LACM,hor,Male,285,203
CBHh0010,Oaxaca,hor,Male,290,203
37847,UAZ,hor,Male,291,233
37847,UAZ,hor,Male,291,233
93891,LACM,hor,Male,300,247
38214,LACM,hor,Male,305,252
1821,LACM,hor,Male,309,250
,ZooMAT,hor,Male,322,274
CBHh0020,Chamela,hor,Male,323,208
,ZooMAT,hor,Male,328,279
41689,UAZ,hor,Male,330,275
41689,UAZ,hor,Male,330,275
6596,LACM,hor,Male,335,292
CBHh009,Chamela,hor,Male,335,250
CBHh0023,Chamela,hor,Male,335,250
CBHh0016,Chamela,hor,Male,340,251
37808,UAZ,hor,Male,344,266
37808,UAZ,hor,Male,344,266
CBHh003,Chamela,hor,Male,355,265
CBHh0019,Chamela,hor,Male,367,289
,ZooMAT,hor,Male,369,305
35420,UAZ,hor,Male,385,300
35420,UAZ,hor,Male,385,300
CBHh0027,Chamela,hor,Male,401,270
,ZooMAT,hor,Female,400,325
